sitecode,Class,Region,Region_detail,Region_detail2,Note,lat,long,beta_region,beta_id,ohwm_region,ohwm_id,corps_region,corps_id,nwca_region,nwca_id,DRNAREA_mi2,all_region,InBeta
0,P,PNW,PNW_WM,PNW,NA,44.34944,-122.78129,PNW,7,Northwest,0,WMVC,6,WMT,4,8.44,USA,NA
1,I,PNW,PNW_WM,PNW,NA,44.37028,-120.5341,PNW,7,Northwest,0,WMVC,6,WMT,4,4.33,USA,NA
2,I,PNW,PNW_WM,PNW,NA,44.44382,-120.46974,PNW,7,Northwest,0,WMVC,6,WMT,4,0.58,USA,NA
3,I,PNW,PNW_WM,PNW,NA,44.44571,-120.4689,PNW,7,Northwest,0,WMVC,6,WMT,4,1.65,USA,NA
5,E,PNW,PNW_WM,PNW,NA,44.45855,-120.44381,PNW,7,Northwest,0,WMVC,6,WMT,4,0.06,USA,NA
7,I,PNW,PNW_WM,PNW,NA,44.48584,-120.39822,PNW,7,Northwest,0,WMVC,6,WMT,4,0.38,USA,NA
8,I,PNW,PNW_WM,PNW,NA,44.49312,-120.39333,PNW,7,Northwest,0,WMVC,6,WMT,4,1.06,USA,NA
9,I,PNW,PNW_WM,PNW,NA,44.5081,-120.37527,PNW,7,Northwest,0,WMVC,6,WMT,4,0.12,USA,NA
10,E,PNW,PNW_WM,PNW,NA,44.52844,-120.36145,PNW,7,Northwest,0,WMVC,6,WMT,4,0.31,USA,NA
12,P,PNW,PNW_WM,PNW,NA,44.91041,-119.70325,PNW,7,Northwest,0,WMVC,6,WMT,4,5.94,USA,NA
13,E,PNW,PNW_WM,PNW,NA,44.95429,-119.71244,PNW,7,Northwest,0,WMVC,6,WMT,4,0.39,USA,NA
14,I,PNW,PNW_WM,PNW,NA,44.99478,-119.71346,PNW,7,Northwest,0,WMVC,6,WMT,4,4.52,USA,NA
15,P,PNW,PNW_WM,PNW,NA,44.28895,-118.97984,PNW,7,Northwest,0,WMVC,6,WMT,4,6.52,USA,NA
16,I,PNW,PNW_WM,PNW,NA,44.54368,-119.05699,PNW,7,Northwest,0,WMVC,6,WMT,4,13.1,USA,NA
17,I,PNW,PNW_WM,PNW,NA,44.55917,-119.08483,PNW,7,Northwest,0,WMVC,6,WMT,4,9.77,USA,NA
18,P,PNW,PNW_WM,PNW,NA,44.55963,-119.08498,PNW,7,Northwest,0,WMVC,6,WMT,4,4.09,USA,NA
19,I,PNW,PNW_WM,PNW,NA,44.95712,-118.98797,PNW,7,Northwest,0,WMVC,6,WMT,4,7.95,USA,NA
20,I,PNW,PNW_WM,PNW,NA,45.17308,-118.74405,PNW,7,Northwest,0,WMVC,6,WMT,4,62.4,USA,NA
21,I,PNW,PNW_WM,PNW,NA,45.17162,-118.6843,PNW,7,Northwest,0,WMVC,6,WMT,4,0.95,USA,NA
22,I,PNW,PNW_WM,PNW,NA,45.17097,-118.67978,PNW,7,Northwest,0,WMVC,6,WMT,4,39.3,USA,NA
23,I,PNW,PNW_WM,PNW,NA,45.16847,-118.66867,PNW,7,Northwest,0,WMVC,6,WMT,4,0.25,USA,NA
25,I,PNW,PNW_WM,PNW,NA,45.17679,-118.62569,PNW,7,Northwest,0,WMVC,6,WMT,4,19.7,USA,NA
26,I,PNW,PNW_WM,PNW,NA,45.175,-118.62984,PNW,7,Northwest,0,WMVC,6,WMT,4,0.14,USA,NA
27,P,PNW,PNW_AW,PNW,NA,45.23072,-118.46338,PNW,7,Northwest,0,AW,7,WMT,4,9.89,USA,NA
28,I,PNW,PNW_AW,PNW,NA,45.2316,-118.4616,PNW,7,Northwest,0,AW,7,WMT,4,3.78,USA,NA
29,E,PNW,PNW_WM,PNW,NA,44.67218,-117.97961,PNW,7,Northwest,0,WMVC,6,WMT,4,0.27,USA,NA
30,E,PNW,PNW_AW,PNW,NA,44.67478,-117.98775,PNW,7,Northwest,0,AW,7,WMT,4,0.046,USA,NA
31,I,PNW,PNW_WM,PNW,NA,44.68816,-118.01882,PNW,7,Northwest,0,WMVC,6,WMT,4,0.65,USA,NA
32,E,PNW,PNW_WM,PNW,NA,44.60485,-117.85884,PNW,7,Northwest,0,WMVC,6,WMT,4,0.08,USA,NA
33,E,PNW,PNW_WM,PNW,NA,44.60154,-117.85836,PNW,7,Northwest,0,WMVC,6,WMT,4,0.07,USA,NA
34,I,PNW,PNW_WM,PNW,NA,44.59635,-117.8564,PNW,7,Northwest,0,WMVC,6,WMT,4,0.21,USA,NA
35,E,PNW,PNW_WM,PNW,NA,44.56219,-117.84875,PNW,7,Northwest,0,WMVC,6,WMT,4,0.05,USA,NA
36,E,PNW,PNW_WM,PNW,NA,44.52561,-117.84407,PNW,7,Northwest,0,WMVC,6,WMT,4,0.36,USA,NA
37,E,PNW,PNW_WM,PNW,NA,44.52403,-117.84061,PNW,7,Northwest,0,WMVC,6,WMT,4,3.78,USA,NA
38,I,PNW,PNW_WM,PNW,NA,44.52053,-117.84316,PNW,7,Northwest,0,WMVC,6,WMT,4,3.89,USA,NA
39,I,PNW,PNW_AW,PNW,NA,44.67637,-118.23494,PNW,7,Northwest,0,AW,7,WMT,4,1.31,USA,NA
40,I,PNW,PNW_AW,PNW,NA,44.66576,-118.25273,PNW,7,Northwest,0,AW,7,WMT,4,4.26,USA,NA
41,I,PNW,PNW_AW,PNW,NA,44.65918,-118.27415,PNW,7,Northwest,0,AW,7,WMT,4,5.78,USA,NA
42,I,PNW,PNW_AW,PNW,NA,44.6738,-118.35689,PNW,7,Northwest,0,AW,7,WMT,4,0.33,USA,NA
45,I,PNW,PNW_WM,PNW,NA,44.6343,-118.45863,PNW,7,Northwest,0,WMVC,6,WMT,4,0.32,USA,NA
